state,year,deaths,pop,rate_per_million,log_pop
RI,2020,0,1096530,0,13.90766120624693
RI,2021,1,1097246,0.911372654810316,13.908313962066506
RI,2022,1,1099498,0.9095059745447468,13.910364269966658
RI,2023,2,1103429,1.8125316626624821,13.913933161874946
RI,2024,0,1112308,0,13.92194769385849
SC,2015,19,4896006,3.880714198471162,15.403930328663744
SC,2016,17,4963031,3.425326176685175,15.417527200772113
SC,2017,12,5027102,2.3870611736145397,15.430354232900534
SC,2018,12,5091702,2.3567757893136716,15.443122713773281
SC,2019,18,5157702,3.4899263276552235,15.45600168942329
SC,2020,14,5132249,2.727848941078268,15.45105452263652
SC,2021,16,5194274,3.0803149776080354,15.463067422990173
SC,2022,21,5287935,3.9713044884250657,15.480938368456266
SC,2023,21,5387830,3.897673089165768,15.49965326441849
SC,2024,21,5478831,3.832934434371128,15.516402315000118
SD,2015,3,854663,3.5101554647855355,13.658462518173778
SD,2016,4,863693,4.631275233213653,13.668972660569562
SD,2017,3,873732,3.433547128867891,13.680528971459587
SD,2018,3,879386,3.4114711855772097,13.686979215656706
SD,2019,3,887127,3.3817029579755773,13.695743430298464
SD,2020,2,887948,2.2523841486213154,13.69666846170113
SD,2021,3,896492,3.346376766329203,13.706244648395764
SD,2022,7,909723,7.694649909917634,13.720895436550892
SD,2023,3,918305,3.2668884520938035,13.730284858430524
SD,2024,4,924669,4.3258722851095905,13.737191114617488
TN,2015,20,6595354,3.032437682647512,15.701876019721043
TN,2016,22,6651277,3.3076355111958202,15.71031942427181
TN,2017,27,6714748,4.020999745634534,15.719816859312724
TN,2018,25,6778180,3.688305710382433,15.72921918730286
TN,2019,33,6830325,4.83139528499742,15.73688281460229
TN,2020,29,6927904,4.185970244391377,15.751067872315469
TN,2021,34,6965740,4.881032022441262,15.75651440506567
TN,2022,30,7062217,4.247957829673033,15.770269582837518
TN,2023,37,7148304,5.176052949063163,15.782385683735955
TN,2024,36,7227750,4.980803154508664,15.793438342381643
TX,2015,101,27468531,3.6769348896014864,17.128551580121698
TX,2016,81,27914064,2.901763068251187,17.144641205804422
TX,2017,71,28291024,2.509629909472347,17.15805513915855
TX,2018,83,28624564,2.8996074839777473,17.16977578828163
TX,2019,106,28986794,3.6568376620056706,17.18235090492376
TX,2020,83,29239570,2.838619035779254,17.191033486855368
TX,2021,96,29570351,3.2464951126214228,17.202282761896864
TX,2022,118,30113488,3.9185098717225983,17.220483735661745
TX,2023,127,30727890,4.133053066774191,17.240681269204543
TX,2024,144,31290831,4.60198708049652,17.25883567329816
UT,2015,10,2983626,3.3516265108294405,14.908649897330042
UT,2016,8,3044241,2.627912836073097,14.928762166971683
UT,2017,6,3103540,1.9332761942813692,14.948053953426864
UT,2018,19,3155153,6.021894976249963,14.964547547234881
UT,2019,12,3203383,3.7460397336191145,14.979717996840792
UT,2020,17,3284077,5.176492512203581,15.004596196295413
UT,2021,12,3339738,3.593096224913451,15.02140291876229
UT,2022,11,3391011,3.243870338374013,15.036638664983375
UT,2023,20,3443222,5.808513072929948,15.05191821889434
UT,2024,18,3503613,5.13755371954608,15.069305279733419
VA,2015,17,8367303,2.0317179860703027,15.939842168318702
VA,2016,17,8417651,2.0195657909789797,15.945841368674406
VA,2017,23,8471011,2.7151422657814988,15.952160421960832
VA,2018,18,8510920,2.1149299958171386,15.956860602814405
VA,2019,10,8556642,1.1686827612981823,15.962218381432557
VA,2020,15,8637615,1.7365904824422018,15.971637061007058
VA,2021,21,8658910,2.4252475196069714,15.974099406566014
VA,2022,24,8683414,2.7638898709654978,15.976925327279645
VA,2023,23,8734685,2.633180246339736,15.982812439079787
VA,2024,31,8811195,3.518251497101131,15.991533630030597
VT,2015,1,625810,1.5979290839072562,13.346802089635428
VT,2016,2,624366,3.203249376167184,13.344492013866653
VT,2017,1,625132,1.599662151353634,13.345718106418959
VT,2018,2,624802,3.2010140812609436,13.345190078526818
VT,2019,3,624046,4.807337920602007,13.343979362583248
VT,2020,0,642977,0,13.373864232751075
VT,2021,2,647210,3.090187110829561,13.38042609578134
VT,2022,2,648142,3.0857435561960185,13.381865087130137
VT,2023,1,648708,1.5415256170727045,13.382737971482126
VT,2024,1,648493,1.542036691221031,13.382406488540054
WA,2015,16,7167287,2.2323649101814955,15.785037758823377
WA,2016,26,7299961,3.5616628636783125,15.803379563638595
WA,2017,38,7427951,5.115811884057932,15.820760604771694
WA,2018,23,7526793,3.0557503042796577,15.833979612642096
WA,2019,36,7614024,4.728117484263249,15.845502368007871
WA,2020,32,7727209,4.141210623395847,15.860258294563389
WA,2021,13,7743760,1.678771036292447,15.86239791572276
WA,2022,39,7794123,5.003770148354087,15.868880546126553
WA,2023,22,7857320,2.7999368741504735,15.876956139341832
WA,2024,32,7958180,4.021019881430177,15.88971088846164
WI,2015,11,5762927,1.908752271198299,15.566956063324868
WI,2016,17,5775170,2.9436362912260594,15.569078251168301
WI,2017,24,5793147,4.142825997683124,15.572186225209943
WI,2018,13,5809319,2.2377838090833024,15.574973910254307
WI,2019,18,5824581,3.090351048427346,15.577597623498384
WI,2020,18,5897375,3.0522054303821617,15.590017894617553
WI,2021,11,5881608,1.870236846794278,15.587340751876628
WI,2022,12,5903975,2.032528931779013,15.591136410836135
WI,2023,20,5930405,3.3724509540242193,15.595603065437741
WI,2024,19,5960975,3.187398034717475,15.600744616266075
